work	tax	HasProperty
lot	place	IsA
soup	meal	PartOf
bed	fun	HasProperty
toy	plastic	MadeOf
record	tape	Antonym
rain	water	HasProperty
crowd	nobody	Antonym
bird	girl	Synonym
work	recreation	Antonym
world	everything	IsA
gas	poison	IsA
closet	wood	MadeOf
chair	cushion	HasA
part	piece	Synonym
sofa	chair	IsA
car	horn	HasA
house	bathroom	HasA
column	shape	IsA
side	house	PartOf
rain	snow	Antonym
instrument	device	IsA
labor	class	IsA
fish	bone	HasA
peace	order	IsA
payment	money	Antonym
coffee	bean	MadeOf
gold	value	HasA
fire	tool	IsA
north	south	Antonym
floor	level	HasProperty
bus	coach	Synonym
article	piece	IsA
birth	death	Antonym
nobody	everyone	Antonym
bike	sport	IsA
statement	report	Synonym
chocolate	dessert	IsA
wall	room	PartOf
music	speech	Antonym
album	disk	Synonym
plant	flower	HasA
court	government	IsA
test	trial	Synonym
pleasure	satisfaction	Synonym
pit	cavity	Synonym
game	reality	Antonym
skin	body	PartOf
chair	stool	IsA
cake	sugar	MadeOf
chocolate	candy	IsA
bark	trunk	PartOf
forest	desert	Antonym
rooster	chicken	HasProperty
plate	china	MadeOf
book	text	IsA
point	knife	PartOf
everyone	bone	HasA
shadow	light	Antonym
heart	game	IsA
bill	number	HasA
idol	pagan	Synonym
text	word	HasA
boot	trunk	Synonym
continent	country	MadeOf
water	oxygen	MadeOf
cat	bone	HasA
brain	body	PartOf
ball	fun	HasProperty
world	universe	PartOf
respect	emotion	IsA
pupil	eye	PartOf
terminal	port	IsA
mineral	vegetable	Antonym
language	communication	IsA
magazine	album	IsA
music	entertainment	PartOf
child	family	PartOf
wing	insect	PartOf
art	creation	IsA
triangle	metal	MadeOf
gas	fluid	Antonym
solution	success	IsA
baby	man	Antonym
everybody	dream	HasA
book	magazine	Antonym
sea	water	MadeOf
fence	sport	IsA
sound	energy	IsA
union	place	IsA
animal	bone	HasA
eye	hole	IsA
birthday	fun	HasProperty
day	morning	Antonym
pipe	metal	MadeOf
yard	landscape	HasProperty
disease	illness	HasProperty
knowledge	enlightenment	Synonym
roof	ceiling	Synonym
butterfly	wing	HasA
pet	fun	HasProperty
stair	elevator	Antonym
map	information	HasA
crown	hat	IsA
smile	service	PartOf
sheep	flock	PartOf
bull	horn	HasA
education	civilization	PartOf
apple	core	PartOf
gear	automobile	PartOf
toilet	bathroom	Synonym
division	separation	IsA
machine	steel	MadeOf
flesh	meat	MadeOf
shadow	shade	IsA
game	work	Antonym
captain	team	PartOf
house	lawn	HasA
bell	metal	MadeOf
column	beam	IsA
capital	town	Antonym
lady	male	Antonym
faith	belief	Synonym
republican	politician	IsA
fish	scale	HasA
crime	business	IsA
bowl	sport	IsA
string	line	Synonym
work	energy	IsA
bottle	courage	Synonym
alto	pitch	IsA
chicken	feather	HasA
integrity	honesty	IsA
child	offspring	Synonym
temple	head	PartOf
order	family	Synonym
fog	weather	PartOf
nation	community	Synonym
tape	record	Synonym
death	life	PartOf
freedom	value	IsA
nail	screw	Synonym
chicken	bull	Antonym
bottle	beer	HasA
knife	steel	MadeOf
castle	game	IsA
bill	note	Synonym
cow	horse	Antonym
person	nobody	Antonym
chocolate	food	IsA
sport	exercise	IsA
team	person	MadeOf
floor	hallway	PartOf
motorcycle	metal	MadeOf
nose	head	PartOf
bowl	action	IsA
trumpet	brass	MadeOf
yard	place	IsA
male	boy	Synonym
machine	labor	Antonym
record	fact	IsA
choice	range	Synonym
chest	box	Synonym
cabinet	metal	MadeOf
ice	water	IsA
moon	place	IsA
china	state	IsA
closet	place	IsA
library	place	IsA
water	drink	IsA
relief	aid	IsA
comfort	condition	IsA
stair	step	Synonym
steak	food	IsA
rock	crystal	HasA
song	sound	IsA
market	business	IsA
society	club	IsA
heart	emotion	Synonym
bottle	store	IsA
shade	shadow	Synonym
pipe	cigarette	Antonym
tv	metal	MadeOf
instrument	device	Synonym
supermarket	food	HasA
brook	stream	Synonym
cup	glass	MadeOf
neck	body	PartOf
room	door	HasA
worm	animal	IsA
department	company	Antonym
water	weight	HasA
noise	sound	Synonym
mercury	metal	IsA
prince	person	IsA
village	country	PartOf
faith	religion	Synonym
mind	idea	Synonym
seed	plant	PartOf
queen	person	IsA
statue	metal	MadeOf
ocean	salt	HasA
life	memory	MadeOf
earth	world	Synonym
cap	lid	Synonym
church	altar	HasA
car	wheel	HasA
light	energy	IsA
box	something	HasA
hand	aid	IsA
point	pin	PartOf
cancer	disease	IsA
letter	word	PartOf
child	parent	HasA
son	male	IsA
butter	food	IsA
test	work	Antonym
imagination	mind	PartOf
man	female	Antonym
gun	war	PartOf
aluminium	tin	Antonym
hero	character	IsA
article	document	PartOf
tea	food	IsA
war	violence	HasA
civilization	culture	Synonym
steel	iron	HasA
bathroom	ceiling	HasA
goal	content	IsA
movement	clock	PartOf
hero	leader	IsA
flesh	apple	PartOf
computer	furniture	IsA
lid	box	PartOf
plane	person	HasA
box	case	Synonym
index	text	PartOf
circle	triangle	Antonym
score	number	IsA
couch	bed	IsA
spike	nail	Synonym
plant	organism	IsA
frame	bed	PartOf
heart	core	Synonym
labor	work	Synonym
seed	grape	PartOf
animal	fur	HasA
newspaper	fun	HasProperty
control	experiment	IsA
planet	size	HasA
book	literature	IsA
power	muscle	Synonym
aisle	passageway	IsA
mammal	animal	IsA
newspaper	paper	Synonym
race	time	HasProperty
bedroom	chair	HasA
garden	lawn	HasA
iron	metal	IsA
edge	fabric	PartOf
order	direction	Synonym
child	kid	HasProperty
farm	organization	IsA
card	record	IsA
person	individual	IsA
john	boy	Synonym
candy	food	IsA
rice	potato	Antonym
mouth	jar	PartOf
diamond	material	IsA
report	document	IsA
question	problem	Synonym
chip	computer	PartOf
pig	policeman	Synonym
accident	purpose	Antonym
puff	smoke	PartOf
doll	fun	HasProperty
cow	adult	IsA
house	door	HasA
cake	ingredient	MadeOf
adult	person	IsA
comfort	pleasure	IsA
type	tribe	Synonym
garden	home	Antonym
continent	country	Antonym
blood	body	PartOf
soap	water	Antonym
police	government	PartOf
bowl	clay	MadeOf
animal	body	HasA
order	society	Synonym
father	leader	IsA
mountain	fun	HasProperty
hall	place	IsA
plant	meat	Antonym
mind	reason	Synonym
chip	robot	PartOf
word	statement	IsA
control	power	IsA
oxygen	atmosphere	PartOf
cloud	change	IsA
state	place	IsA
organ	instrument	IsA
city	state	Antonym
harvest	plant	Antonym
party	event	IsA
child	mammal	IsA
button	knob	Synonym
hand	cell	MadeOf
separation	division	Synonym
bedroom	bathroom	Antonym
language	phrase	Synonym
pool	pond	Synonym
crash	change	IsA
floor	room	PartOf
lip	mouth	PartOf
bark	noise	IsA
horn	bull	PartOf
coward	hero	Antonym
bean	film	IsA
author	person	IsA
happiness	mood	IsA
tobacco	smoke	HasProperty
wheel	car	PartOf
pack	collection	IsA
root	plant	PartOf
vacuum	nothing	HasA
hall	hallway	Synonym
baby	mammal	IsA
letter	document	IsA
computer	mouse	HasA
queen	bitch	IsA
penis	male	PartOf
finger	toe	Antonym
bow	vessel	PartOf
sister	darling	Synonym
fruit	food	IsA
staff	club	Synonym
foyer	place	IsA
earth	element	IsA
door	window	Antonym
fashion	fun	HasProperty
head	brain	HasA
enemy	love	Antonym
religion	ideology	IsA
gold	element	IsA
cigarette	tar	HasA
home	work	Antonym
lake	sea	Antonym
wing	food	IsA
order	class	Synonym
seat	furniture	IsA
gentleman	player	Antonym
mouse	tool	IsA
object	device	IsA
space	place	Synonym
girlfriend	girl	Synonym
example	person	IsA
duck	animal	IsA
bed	plot	IsA
frame	couch	PartOf
blanket	fabric	MadeOf
cat	claw	HasA
study	school	IsA
mood	spirit	Synonym
screen	surface	IsA
room	place	IsA
tent	fabric	MadeOf
room	space	Synonym
time	mystery	IsA
person	bone	HasProperty
food	bread	Synonym
ski	sport	IsA
beam	light	IsA
lid	chest	PartOf
class	recess	Antonym
virus	band	IsA
knowledge	freedom	IsA
finger	thumb	Antonym
bedroom	house	PartOf
floor	carpet	Antonym
person	society	PartOf
hallway	hall	IsA
tail	coin	PartOf
home	house	IsA
library	house	PartOf
sugar	crystal	IsA
size	volume	Synonym
apple	core	HasA
insect	animal	IsA
person	organism	IsA
tv	fun	HasProperty
cookie	cake	IsA
bathtub	bath	Synonym
ham	food	IsA
copy	text	IsA
bolt	thread	HasA
joy	sorrow	Antonym
trade	business	Synonym
everyone	parent	HasA
independence	separation	Synonym
tongue	muscle	IsA
sound	channel	IsA
milk	soda	Antonym
air	molecule	MadeOf
satellite	place	IsA
power	energy	Synonym
darkness	light	Antonym
agreement	contract	Synonym
leg	foot	HasA
chair	seat	IsA
eyeglass	plastic	MadeOf
mortar	cement	MadeOf
disk	information	HasA
water	salt	HasProperty
trunk	car	PartOf
song	music	MadeOf
corn	seed	Antonym
marriage	union	IsA
lung	organ	IsA
part	everything	Antonym
house	community	IsA
comfort	stress	Antonym
sock	wool	MadeOf
monkey	animal	IsA
wife	female	HasProperty
baseball	stitch	HasA
man	animal	IsA
cat	tail	HasA
field	mouse	IsA
memory	experience	MadeOf
world	country	MadeOf
cord	wire	Synonym
salt	sugar	Antonym
mouth	tooth	HasA
growth	film	IsA
pavement	sidewalk	Synonym
captain	soldier	Antonym
taste	vision	Antonym
fitness	magazine	IsA
road	place	IsA
silverware	metal	MadeOf
glass	vessel	IsA
student	professor	Antonym
animal	pain	HasA
birth	life	PartOf
disease	health	Antonym
bathroom	bath	Synonym
pen	tool	IsA
head	nail	PartOf
mammal	leg	HasA
science	magic	Antonym
subject	scene	PartOf
matter	weight	HasA
silver	element	IsA
doctor	study	HasA
alley	street	IsA
heat	race	IsA
balance	scale	IsA
space	volume	Synonym
head	brain	Synonym
tree	wood	MadeOf
morning	day	PartOf
person	eye	HasProperty
shore	beach	HasA
hockey	game	IsA
apple	orange	Antonym
title	crown	Synonym
race	sport	IsA
court	courthouse	Synonym
page	paper	MadeOf
bag	fabric	MadeOf
john	cavity	HasA
cat	paw	HasA
